artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,ID,Gender,Age,Country,Genres,Followers,URI
Marshmello,Happier,214289,FALSE,2018,82,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,"pop, Dance/Electronic",64KEffDW9EtZ1y2vBYgq8T,male,28,US,"['brostep', 'edm', 'pop', 'progressive electro house']",35223255,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
Mario,Break Up,249026,TRUE,2009,51,0.44,0.517,0,-7.355,1,0.363,0.428,0,0.173,0.475,73.881,"pop, R&B",20s0P9QLxGqKuCsGwFsp7w,male,33,US,"['dance pop', 'r&b', 'southern hip hop', 'urban contemporary']",3337657,spotify:artist:20s0P9QLxGqKuCsGwFsp7w
Shawn Mendes,There's Nothing Holdin' Me Back,199440,FALSE,2017,0,0.857,0.8,2,-4.035,1,0.0583,0.381,0,0.0913,0.966,121.996,pop,7n2wHs1TKAczGzO7Dd2rGr,male,21,CA,"['canadian pop', 'pop', 'viral pop']",42978639,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
James Morrison,You Give Me Something,213173,FALSE,2006,64,0.559,0.688,7,-6.496,1,0.114,0.216,0,0.0855,0.578,79.753,"pop, R&B",3LpLGlgRS1IKPPwElnpW35,male,35,GB,['neo mellow'],1569305,spotify:artist:3LpLGlgRS1IKPPwElnpW35
Martin Solveig,Intoxicated - New Radio Mix,159693,FALSE,2015,48,0.8,0.677,0,-4.023,1,0.0393,0.00563,0.00409,0.0838,0.547,125.004,"pop, Dance/Electronic",1bj5GrcLom5gZFF5t949Xl,male,43,FR,"['disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'vocal house']",1215520,spotify:artist:1bj5GrcLom5gZFF5t949Xl
The Pussycat Dolls,When I Grow Up,245680,FALSE,2008,72,0.671,0.685,11,-5.762,0,0.05,0.00165,0,0.398,0.368,118.449,"pop, R&B",6wPhSqRtPu1UhRCDX5yaDJ,mixed,17,US,"['dance pop', 'girl group', 'pop']",5587961,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ
Avril Lavigne,My Happy Ending,242413,TRUE,2004,68,0.414,0.936,2,-2.407,1,0.0758,0.00136,0,0.369,0.74,170.229,pop,0p4nmQO2msCgU4IF37Wi3j,female,35,CA,"['canadian pop', 'candy pop', 'dance pop', 'pop']",10579526,spotify:artist:0p4nmQO2msCgU4IF37Wi3j
Franz Ferdinand,Take Me Out,237026,FALSE,2004,77,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,rock,0XNa1vTidXlvJ2gHSsRi4A,mixed,19,GB,"['alternative rock', 'dance rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']",2547257,spotify:artist:0XNa1vTidXlvJ2gHSsRi4A
Black Eyed Peas,I Gotta Feeling,289133,FALSE,2009,80,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,"hip hop, pop",1yxSLGMDHlW21z4YXirZDS,mixed,25,US,"['dance pop', 'pop', 'pop rap']",7892622,spotify:artist:1yxSLGMDHlW21z4YXirZDS
Nelly,Ride Wit Me,291781,TRUE,2000,75,0.85,0.7,7,-6.49,1,0.0478,0.0616,1.80E-06,0.244,0.722,101.875,"hip hop, pop, R&B",2gBjLmx6zQnFGQJCAQpRgw,male,45,US,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",2614317,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw
Iggy Azalea,Black Widow,209423,TRUE,2014,67,0.743,0.72,11,-3.753,1,0.124,0.192,0.000386,0.109,0.519,163.99,"hip hop, pop",5yG7ZAZafVaAlMTeBybKAL,female,30,US,"['australian hip hop', 'dance pop', 'pop']",6547101,spotify:artist:5yG7ZAZafVaAlMTeBybKAL
Drake,Over,233560,TRUE,2010,57,0.325,0.848,7,-5.611,1,0.279,0.0109,0,0.124,0.433,100.093,"hip hop, pop, R&B",3TVXtAsR1Inumwj472S9r4,male,33,CA,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83298497,spotify:artist:3TVXtAsR1Inumwj472S9r4
Black Eyed Peas,Meet Me Halfway,284373,FALSE,2009,72,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.17E-05,0.324,0.4,130,"hip hop, pop",1yxSLGMDHlW21z4YXirZDS,mixed,25,US,"['dance pop', 'pop', 'pop rap']",7892622,spotify:artist:1yxSLGMDHlW21z4YXirZDS
Pitbull,Feel This Moment (feat. Christina Aguilera),229506,FALSE,2012,77,0.673,0.758,7,-3.632,1,0.158,0.039,0,0.341,0.542,135.956,"hip hop, pop, latin",0TnOYISbd1XYRBk9myaseg,male,39,US,"['dance pop', 'miami hip hop', 'pop']",10383655,spotify:artist:0TnOYISbd1XYRBk9myaseg
Taylor Swift,Cruel Summer,178426,FALSE,2019,78,0.552,0.702,9,-5.707,1,0.157,0.117,2.06E-05,0.105,0.564,169.994,pop,06HL4z0CvFAxyc27GXpf02,female,30,US,['pop'],95859165,spotify:artist:06HL4z0CvFAxyc27GXpf02
Ashanti,Rain On Me,297960,FALSE,2003,50,0.606,0.699,8,-3.103,0,0.0337,0.343,1.89E-06,0.0757,0.509,83.701,"hip hop, pop, R&B",5rkVyNGXEgeUqKkB5ccK83,female,39,US,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",2920350,spotify:artist:5rkVyNGXEgeUqKkB5ccK83
Dido,Thank You,218360,FALSE,1999,73,0.725,0.583,1,-9.942,0,0.0427,0.3,0.000238,0.0665,0.762,79.984,pop,2mpeljBig2IXLXRAFO9AAs,female,48,GB,"['dance pop', 'europop', 'lilith', 'neo mellow', 'pop rock']",1688987,spotify:artist:2mpeljBig2IXLXRAFO9AAs
Avril Lavigne,Nobody's Home,212413,FALSE,2004,61,0.348,0.907,5,-3.66,0,0.0497,0.000516,0,0.161,0.177,185.406,pop,0p4nmQO2msCgU4IF37Wi3j,female,35,CA,"['canadian pop', 'candy pop', 'dance pop', 'pop']",10579526,spotify:artist:0p4nmQO2msCgU4IF37Wi3j
Jay Sean,Down,212106,FALSE,2009,3,0.657,0.695,2,-4.493,1,0.0321,0.0108,0,0.0822,0.683,65.997,"hip hop, pop, R&B",4pADjHPWyrlAF0FA7joK2H,male,39,GB,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",1777465,spotify:artist:4pADjHPWyrlAF0FA7joK2H
Meghan Trainor,NO,213506,FALSE,2017,69,0.557,0.803,1,-3.599,0,0.213,0.0124,1.61E-06,0.737,0.657,92.134,pop,6JL8zeS1NmiOftqZTRgdTz,female,26,US,"['hip pop', 'pop']",14388919,spotify:artist:6JL8zeS1NmiOftqZTRgdTz
Snoop Dogg,Sweat - Remix,195986,FALSE,2011,68,0.813,0.732,7,-5.636,1,0.03,0.0597,0.00137,0.0826,0.731,130.02,"hip hop, pop",7hJcb9fa4alzcOq3EaNPoG,male,48,US,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",10780809,spotify:artist:7hJcb9fa4alzcOq3EaNPoG
Keyshia Cole,Last Night,255706,FALSE,2007,60,0.918,0.857,3,-5.032,0,0.0623,0.166,0.0003,0.0855,0.972,121.006,"hip hop, pop, R&B",1vfezMIyCr4XUdYRaKIKi3,female,38,US,"['hip pop', 'r&b', 'urban contemporary']",3760904,spotify:artist:1vfezMIyCr4XUdYRaKIKi3
Ludacris,Splash Waterfalls,290760,TRUE,2003,48,0.734,0.846,11,-6.102,1,0.409,0.101,0,0.233,0.702,145.894,"hip hop, pop",3ipn9JLAPI5GUEo4y4jcoi,male,42,US,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2758032,spotify:artist:3ipn9JLAPI5GUEo4y4jcoi
Anuel AA,Secreto,258800,FALSE,2019,75,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,latin,2R21vXR83lH98kGeO99Y66,male,27,PR,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",34229041,spotify:artist:2R21vXR83lH98kGeO99Y66
Jeezy,Soul Survivor,280013,TRUE,2005,55,0.684,0.493,10,-7.728,1,0.0459,0.000839,0,0.157,0.08,84.03,"hip hop, pop",4yBK75WVCQXej1p04GWqxH,male,42,US,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'trap']",2419117,spotify:artist:4yBK75WVCQXej1p04GWqxH
Sigma,Nobody To Love - Radio Edit,189720,FALSE,2014,62,0.441,0.921,8,-3.32,1,0.0436,0.000526,6.34E-06,0.177,0.182,175.001,"pop, Dance/Electronic",01pKrlgPJhm5dB4lneYAqS,mixed,0,GB,"['dancefloor dnb', 'pop dance', 'uk dance']",318617,spotify:artist:01pKrlgPJhm5dB4lneYAqS
